"Questions","Answers"
"I have several issues like I don't like people. They make me sick. I have issues with talking to people. I feel like they are talking about me and making fun of me. I have felt this way for years. When I look people in the eyes I have voices that tell me to hurt them and if I don't stop looking at who I am talking to it gets so loud I can't hear what they are saying. I just stay away from people to avoid this. I look at people and think how I could hurt them. I feel like I am worthless and would be better off not in this world where I don't fit in. Every day I wake up it's like another day. Any info would be good.","Sounds like you are dealing with a lot within your self which is causing you great pain. I would suggest that first you get a full physical evaluation to make sure that you are ok physically. Then getting a mental evaluation as well from a psychiatrist. Seeing both would help rule out any physically or psychologically causes to your symptoms. After getting these evaluations, your physician should be able to help guide you on what treatments would be the best to help with your everyday challenges your are facing. Whether treatment includes medication and/or psychotherapist would be discussed. Please consider doing both immediately so you can have the live you want everyday you wake up."
"Now that the other girl is out of the picture, our sex life isn't the same. Is it because he is still thinking about the other girl?","Or...better yet... Is it you still thinking about the other girl? I am sure his cheating hurt you emotionally and may have affected your sexual performance as well. Make sure the other girl is out the picture on your end as well. Sounds like something the both of you need to have a calm and adult conversation about."
"I was in a relationship with him for three years. My mom doesn't like it because she thinks I'm making a mistake. He got married a few months after we broke up, and now he is divorced. I forgave him for what he did in the past, and he says he’s sorry and he really loves me. I love him too, but is it bad that I'm giving him a second chance again?","Hey, it might be mistake in the end but this is a risk you want to take and you get to make your own mistakes. Your mom wants to protect you; I get that. Maybe she is worried you'll be hurt again. Were you hurt in some way by him? Can you understand where she's coming from? Sometimes when we're mad at our partner and we complain about them to mom, it's hard to know how to repair mom's relationship with the partner when things are better and we reunite. Can you help your mom understand that you take responsibility for your part in how it went wrong; that the picture you may have painted of him isn't the total picture? She might need help there. Thank your mom for her love and care, and you can also let her know clearly that you and your boyfriend are the only ones who get to decide whether you're together or not, that it's a risk you are going to take, and that you really need her support. :)"
"I am currently living in a hotel and I don’t have a family. I met a guy a month ago. He is a bisexual. He has a lot of gay friends on social networking sites. He would not help pay for the room. When I asked for the TV remote control, he threw it elsewhere and asked me to get it. I slapped him and asked him to leave my room. We recently just got back together. One time I was sick. He came to visit and feed me but left no money. Then he texts me and brags about his house and car knowing that I have struggles living at a hotel. He says that he has a whole house where he can put me in and orders me to text him whenever I need someone to have sex with. He left his bath soap so he could come and get it. I think that he is trying to find a way to come back. Please help me. What’s going on? I am a good, loyal woman. Why is he treating me like this?","I am less concerned about this man as bisexual and having gay friends, than about how you feel is treating you. You are in a vulnerable position because of social isolation. If you have friends to talk to, please reach out. While this man has money, it is not his job to take care of you financially unless the two of you have decided that together. It sounds like he sometimes cares for you and other times you feel disrespected. I would suggest you look for a man that is consistent in his love and care. This is not your fault. But you are in control of removing him from you life or choosing not to because he meets some of your needs. Take care."
"About two and a half months ago, I met a woman on a dating site. We went out on two dates, and then despite her original plans on how to pace and conduct the relationship, I ended up at her house on a the Friday night one week after our first date. We respectfully tried not to have sex, but after hours of trying to resist each other, we gave in and we had sex. After that, I slept at her house every night for almost two weeks. Then one day, she went to her family’s house on Thanksgiving and everything changed. Within the short time we were together, we got so close and serious really fast. We had finally found each other. We told each other that we loved each other all the time, even while we were making love. A few days after Thanksgiving, she told me that we would have to go back to her original plans of seeing each other much less frequently. I was very hurt and didn’t understand. Then another week later, she told me she couldn’t do it at all anymore. I was crushed! A few days later, she tells me how much she’s missing me and “let’s get together for lunch” or something like that. Then about two weeks later, we finally get together one night and we were so hot for each other (in love, not just sex), but she confessed that the reason for the sudden distance was that the father of her very young child told her he wants to get back together and this totally messed with her. So for her child’s sake, she is now considering the possibility of allowing that to happen. She had told me all about him previously, and it is definite that she has little to no attraction to him, but she would do this putting herself in misery again for her child. Our love for each other is fully established and acknowledged, but she is torn and confused. She doesn’t even think it would work between them as she had to kick him out before for not fulfilling his role properly. I know she needs time, and all I can do is take care of myself. We have agreed to remain friends, and if this doesn’t work out for her, we will try again. I’m completely in love with her, and I’m in extreme pain.","That sounds really heartbreaking. It is tough falling in love and not being able to dive fully because of complications on the other side. It sounds to me that you are doing exactly what you need to be doing by taking ""care of myself"" while the rest sorts itself out. While I admire your desire and courage to stay friends - the ""extreme pain"" that you mentioned may make this too challenging and at odds with your taking care of yourself. Since there is no commitment on her end to give it a shot with you I would make sure that you really honour your own feelings about what feels right to you so that you don't end up feeling strung along or resentful. Make sure that you lean on friends and family at this time - we need all the support that we can get when we are heartbroken."
"I got involved with my best friend who is married but has been very unhappy for the last five years. We both fell in love and have been together for eight months. He left the house and filed for divorce. He decided to tell her about our relationship, and she is willing to forgive and work on things. This shook him. They have two kids together. He decided to put the divorce on hold. He left town for a month to get clarity on the situation and see a therapist.","Hi Miami, I feel your sadness; you might have planned a future with your best friend. We live in a world where we are constantly exposed and connected to people who intrigue us and to whom we might feel a connection. I believe that our ability to protect our relationships from the risks involved here has not developed fast enough. Your friend came face to face with what leaving the marriage meant...huge changes and many intense emotions. He is wise to consider his choices carefully; especially if you have children, there is good reason to work at a relationship that is less than fulfilling. Therapy can help.So you fell in love with a man who was in an unstable place. He's taking the steps to create some stability for himself and that leaves you ""on hold"", not knowing what his decision will be. I love that you seem willing to give him the space he needs to figure it all out. This decision is his. For yourself, you can accept that being ""best friends"" with a man might not be a wise thing. Many marriages don't fair well when friendships like that exist. You flirted with danger; both of you. You fell in love but he wasn't free, really. I'm sure his love for you is real and powerful, but it's not a competition. It's one man choosing his life path. You can focus on thoughts like this:He has the right to choose his life.We flirted with danger by being best friends.I know he does love me; this is not a reflection on my worth.I can feel really good about giving him patience and the space he needs.I feel proud of his honesty.I feel proud if he's willing to fight for his marriage; lucky her...lucky kids.Acknowledge and allow yourself to feel that sadness, that grief. It's real.If you have told anyone about the affair, seek the support of that trusted person and know you have to grieve this in silence because it was born in silence. I wish you well, and for the record, I'm proud of the maturity you show in this situation. :)"
"I have been dating my boyfriend for a month, and we want a baby. We don't work or drive, and we haven't talked to our parents. What should we do?","Hi Athens, When a teenager wants to have a baby, it's usually for a specific, and not healthy, reason. Do you maybe hope that a baby will cement your relationship? It doesn't work that way. Do you yearn for a person who will love you deeply? Babies don't give to us; we give endlessly to them. I urge you to talk to someone you trust about why you want to speed up your life by being a parent before you are fully grown emotionally. A relationship that is one month old is not stable enough to support a change like this. You're only starting to get to know each other. I wish you well and hope you talk to someone."
"I was hanging out with my close guy friend. We started kissing, but afterwards, he said that we should just stay friends because he doesn't want to ruin anything. We both just got out of relationships. His was very sexual. I'm not a sexual person, and he knows that. I want to be with him, but I'm not ready for another relationship, and I don't know if he ever will want to be more than friends.","Given that both you and your friend recently ended your respective romantic relationships, kissing each other sounds like each of you satisfied a very natural need which for right now does not has a natural source of satisfaction.Suddenly being without a partner is difficult because a relationship absorbs and offers much of a person's energy. Stay focused on what you know about yourself, which is that you're not ready for another relationship.From what you describe about your friend, similar to you, he does not feel ready for a new relationship.If and when you feel ready to enter a new relationship and your friend seems attractive, then you'll be in a position to find out, either by approaching your friend as a potential partner, or by asking your question of his interest in you.Who knows?It is possible your friend will feel ready for a new relationship, approach you, and depending on your personal wishes to be or not be with who he has become, accept his offer.Good luck with Step One, becoming familiar with your new state of single hood, and sorting through the good news and bad news of your most recent relationship."
"My partner seems to always get depressed over the fact that his kids have to see and go through the divorce process. It’s especially when the mother of his kids keeps making him feel bad and using the kids as an excuse to get back at him. I feel like just telling him to go back with his family and forget about me.","Hold on, Sanger! You know, I meet with a lot of people who are so sick of the crap that their ex puts them through in the divorce process that yes, they wonder if it's best to go back. I don't think so.If your ex is using the children to manipulate, or is generally controlling the separation process, that's confirmation that getting out was the right decision.Your partner feels powerless to change the current situation. Of course he does, because there are many things that are beyond his control (his ex's behaviours, for one). Accept the powerlessness. Lean into it. It's okay, because there are many things he does have power over, and that's where he can focus. He has the power to give his children a happy dad. That's HUGE. That's why he left, I'd guess. I bet the main barrier to him being happy is the guilt he feels. That's his ex's voice...that's what she wants him to feel...to give into that is letting her win. Ending a marriage in order to be happy is his right. He has not intentionally harmed his children. Hopefully he's aware that the separation has affected them and he's working to create peace and balance in their lives, but he's can let go of the shame she wants him to feel; it's crippling him.He has the power to separate emotionally from his ex. He's not doing that when he lets her words control his emotions. He's still reacting to her. He hasn't completely left yet.A good therapist can help your partner regulate his emotions, combat shame, create emotional distance from his ex and erect proper boundaries. He needs your support in moving forwards, not going backwards. I wish you the best."
"My girlfriend broke up with me five months ago because I said awful things to her one night for no reason of hers. I have been trying to get her back, but it isn’t easy. She is in her 50s and I am in my 40s. She is the one I want for my life, and this is killing me. Every day, I cry, and I am desperate for help.","New York, what would it mean about you if you got her back? Is that the only way you can like or forgive yourself...if she forgives you and takes you back? Your self respect doesn't need to rely on this working with her. She simply doesn't want to be with you, and every day that you refuse to honour her decision is another day that you hurt her all over again. Move on and heal, perhaps with the help of a therapist."
"I'm a female freshman in high school, and this question is for my male best friend. At the start of freshman year, we dated for about a week before his parents ended it because they said he is too young to date. He has been dating a really sweet senior girl for a month or two. I have nothing against her except for the fact that she has Tim's heart. He is convinced that they are in love, and maybe they are, but I don't really believe him. Lately, Tim had been expressing concern about what is going to happen when Sally leaves for college at the end of term this year. He's been asking me to help him with Sally and what girls like to show her how much he loves her. But he's also been thinking about breaking up with her just so they won't have to deal with it when she leaves. He seems really torn up about it, and I want to know what to say to him and how to help him once she leaves. He knows that I still crush on him. He doesn't rub it in my face. He's a good guy, but I want to actually help him out and recover before we think about maybe another relationship between us. How do I do that when the time comes? How do I support him and show him that I'm here without wanting to hook up? How do I make him feel better? He is convinced he's never going to be able to love anyone ever again, which I think is ridiculous.","First off, I think it is great that you are willing and able to help out your friend with issues regarding his current relationship, despite the fact that you have feelings for him. I think that the best thing you can do is let him know that you are there for him if he wants to talk about things. You can also help by presenting options that he has and help him weigh out the pros and cons of his decision, but ultimately he has to decide what to do. Know that you won't be able to heal the pain he feels when his girlfriend leaves but you can be a friend to him by simply listening, validating his feelings, and understanding. Regarding your question about being there for him without wanting to hook up....I'm not sure if that is possible. If you care for him on more than a friendship level, then that desire will likey be there for you no matter what. Be careful that you take care of yourself and don't jeopardize your own happiness while trying to help him with his issues. Good luck to you!"
"I have been seeing this guy for a little over a year. Back in August, he asked for us to step back for now. Since then, he has still been in contact with me every day. We spent some time together over the holidays, but then I was gone for New Years with family. I came to find out that he put himself on a dating site. When I found out, I asked him about it, and he responded with this: “My apologies if I got my signals crossed, or if I wasn’t honest with you. You have helped me tons this past year and I am glad you are in my life. I didn’t realize you were still interested in dating. Again, my apologies.” Also, is it better to say that I want him in my life or that I want him as part of my life?","It sounds like there is a bit of confusion regarding how you two feel about each other. Do you know what type of relationship you want with him? A friendship only, casual dating, or an exclusive relationship? I would encourage you to first figure that out and then communicate to him how you are feeling. Ask him to be honest with you about how he feels and what he wants from your relationship as well. Be mentally prepared for a variety of responses from him so that there are no major surprises. By clearing the air and learning what your own and each other's desires are, you can then move forward with a plan. Without that clarification, there will likely be false assumptions, unanswered questions, and confusion."
"My girlfriend and I have broken up and gotten back together numerous times in the past two years. We recently just broke up again last night on New Year’s Eve. When we break up, the very next day, she calls me and acts as if nothing has happened. She acts like everything is alright. This has been going on for two years. I do love her and care about her and her children a lot, but she seems really demanding as far as what she deserves from a man. She is always telling me that she deserves this and that from a man. It makes me feel like crap because I cannot give her everything that she wants. She told me one time that she wants a man who is going to be afraid to lose her. Is that a normal thing that women want, or should I just move on already? I am in my 30s and she is in her 40s.","Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner.The frequent break ups happen for a reason. Try understanding more of why you go back together again.You state a few very clear reasons to not continue this relationship, such as ""feeling like crap"" and not liking that your girlfriend hopes her partner will feel afraid to leave her.Trust your intuition telling you that these feelings matter.Sometimes men aren't sure whether following their instinct is a right action to take.It is.Also, hoping a partner will fear losing them, shows a wish to control a person.Control has nothing to do with love and trust, and these are basics of a relationship.Good luck!"
"I broke up with him three weeks ago because I felt that he needed to be more respectful. He has since had a rebound relationship. He says he loves and misses me but refuses to see me. He says it's going to be too difficult to see me. Every time we talk, it feels like I'm being pushy to see him. He used to be so madly in love with me, but now, it seems like he couldn’t care less. I think I'm running him away.","Hi Kansas,I think your first instinct was good; you broke up with him. You deserve respect, but right now you're not acting as if you deserve it when you push to see him as he's moving on with a new relationship. It's appropriate now for you to respect that relationship and listen to what he says he wants, which is space. Do you think he's going to be any different with her? This a common, unfounded fear we have. I wonder if maybe you miss the feeling of being in love and having a partner more than you miss him. The bottom line is you can't make someone love you, and you can't make someone be loving towards you, because how someone treats you (and the choices they make) has everything to do with who they are, and nothing to do with who you are. I hope you gather support from others and move on in hope and strength for your own future."
"I'm an early 20 something year-old virgin, and my boyfriend is in his early 20s with kids. He's cheated on me twice: once in the beginning and then four months ago. He wasn't use to dating a virgin and broke up with me three times because he wasn't sure. We both work at the same job (where we met) and it’s with the girl that works with us. I've been trying to get over it, but now my confidence and self-esteem are low, and sometimes I feel like he’ll do it again or that he's not ready to be with me. I think about it all over again when I see her. He says he's in love with me, and with the last time he cheated, it didn't feel right, and that's when he knew he had to stop because his feelings were for me. He's contacted her and told her he will not communicate with her because he's in a relationship with me. How do I gain confidence? Should I let him go? If I let him go, I don't want to be sad about it being that we work together. I try to tell myself I'm beautiful every day, and I think I am a pretty attractive female with a great personality, but I don't like the fact that she works there.","Sorry to hear about all the stress in the relationship.You're on the right track by knowing and sticking with your own standards of what qualifies as acceptable behavior by your boyfriend.Since he was the one who broke your trust, he is one in the position of earning back your trust.This is always a basic formula for couple's therapy in which there has been infidelity.Understand within yourself whether you'd like being with your boyfriend and what you'd like him to do so that you start feeling more secure in the relationship.If yes, then tell him what you now know about yourself as partner in the relationship.For example, some people who are getting over being cheated on, would like knowing details about the affair person, some people want to see the phone of the one who cheated.Recuperating after a cheating incident takes many months.If he tells you he'd like earning back your trust, give him some time to see if there is progress in this area.As results unfold, you will feel clearer on the direction your relationship is naturally taking.About the girl at work, she will feel less meaningful to you as you work together with your boyfriend on securing the relationship.She has her greatest meaning right now because you are at the beginning stage of knowing what direction to take.As you go along this road, more than likely, you'll be more at ease in naturally finding a way of relating to her that feels ok to you."
"I find that I imagine things sexually, and I hate it because it puts strain on my relationship. I feel helpless and guilty. I want it to go away, and I want to make my woman happy again.","It is completely understandable that you would like to find a way to make these intrusive thoughts go away, however, your feeling that you can't control having these thoughts is accurate. It's also understandable that you would feel helpless and guilty, given that you see how these thoughts are effecting your relationship, though I would encourage you to go easy on yourself and remember that you aren't choosing to have these thoughts. I'm sure that if there was a switch to turn them off, you would flip it.There is no magic technique or pill that can guarantee these thoughts will go away, however, therapy may still have a lot to offer. In working with a competent therapist, you may be able to gain insight into where these thoughts are coming from and develop new ways of relating to them so that they do not leave you feeling as helpless and guilty and can be more present with your partner. Though there is no guarantee that the thoughts will go away, this may also be a result of work with a therapist. Either way, you may be able to find a way to deal with the thoughts and show up in your relationship in a way that will be satisfying to you and your partner."
"My boyfriend moved in with me a few months ago. I love him, but his dog is wrecking my house. Every day we get home, there is a huge mess on the floor, and several things will be ripped up (including the couch). He's slowly eating all of the doors, and there will be food and poop everywhere. Even though I come home during all of my breaks to take him out, he still poops and pees in the house every chance. I can't financially afford to have the dog wrecking my house. I've tried talking to my boyfriend about the dog to try and come up with a solution, but it never ends well. The dog is the only thing we fight about because I want him out of the house and my boyfriend doesn't want to see him go. It’s not the dog fault though; I understand that. The dog is only a year old, and he isn't a bad dog. He's just too big of a dog for where he is; he should be a farm dog instead of a town dog. I don't hate the dog, but I just can't afford to continue having my house torn to pieces.","Every living creature needs time and support to adjust to a new situation.The dog is in a new place without the ability to understand the reason. This may explain what sounds like the dog's agitation. Have you spoken with your boyfriend on his opinion on how to address the dog behavior problems?Finding an answer together would be a good way of making your relationship stronger. A lot of being a couple who live together is talking, listening and deciding together on how to handle major situations.If it is affordable, then a dog behaviorist may be of great help. The person would guide you in working with the dog to become calmer."
"I had to go to the emergency room today to get an X-ray of my spine. My boyfriend didn't want to sit there and wait with me. Instead, he wanted to go do things for his friends while I waited. When I was done, he was twenty minutes late in picking me up. He doesn't understand why I'm mad, and we keep bickering at each other over the smallest things. He thinks I don't have a reason to be mad, but I believe that I do.","It is extremely frustrating when our significant other doesn't understand our points of view. Often times, arguments are not the best opportunities to try and make a point, as strong emotions can get in the way of understanding others' perspectives. Try having a discussion with him about what is bothering you during a time when neither if you are upset or arguing. Communicate how you feel without placing blame and without yelling. Addionally, give him ideas of what he can do differently so that he understands what your expectations are. Lastly, consider seeing a couple's therapist who can assist with teaching more effective communication techniques. Best of luck."
"My fiancé doesn't think I trust him because I was cheated on before. However, he hides his phone and has been texting his ex-girlfriend, who he has two kids with. What should I do?","Oh Chino, I only have half the picture here so I will be cautious. There's a chicken and an egg, and I don't know which came first. One thing I see clearly is that your fiance will always have to have communications with his ex, because they have children. Can you accept that? When suspicion and insecurity come along, your job is to look at the big picture and the real picture. Is there any real evidence that he is cheating? Remember that texting his ex is not evidence alone if the communications are about the kids. Has he earned your trust? If so, then it's not fair to punish him for the betrayals of others. He's not your ex. Reassure your heart that you are his priority if the larger evidence supports that. At the same time, you can let him know what your triggers are. For example, hiding his phone doesn't send you a good message, right? See, this is the chicken and the egg...is he hiding the phone because you've been overreacting when he gets a text? So let him know you won't blow up about him getting a text if he doesn't conceal or password his phone. Transparency helps build trust. You have sensitivities, and it helps you a lot if he's aware of them and willing to try not to do things that trigger fear. Let him know when you get scared, and hopefully he'll give you the openness and security you need in order to trust him and act as if you trust him. :)"
"My long-distance girlfriend is in a sorority, and it's changing her. I feel like I'm becoming less important to her and it hurts. She just wants me to support the sorority, but it's so hard. I try every day to show her she's the most important thing to me, but she can't even stay relatively sober at a fraternity party for me so that I won't worry about her doing anything regretful. We love each other, but we're in a rough patch.","You may already be doing as much as possible for your relationship.Each of you are 50% of the relationship.Is the 50% which your GF contributes to your relationship, based on the same understanding of the couple's problem, as you have?Maybe a good starting place for the two of you to talk about is defining what problem the two of you have as a couple.This way, each of you will be able to know if you have similar values and definitions of your reasons for being together.Depending on what you each expect from your partnership, you each will clearly know whether, and then how, to accommodate the other person.These discussions stir a lot of emotions in each person, so that sometimes staying clear minded becomes very difficult. You both will likely feel like talking about these matters more than one time.Consider utilizing a professional, credentialed and licensed therapist who would help the two of you stay on track with examine your emotional connections in a fair and safe way.Good luck with understanding and appreciating your relationship!"
"Every once and a while, I think about my ex-boyfriend from four years ago, and my current friend. It’s like I can't get past it, and I need some kind of closure. I keep thinking about how we had something, but it got cut off due to parental intervention. Nothing was ever wrong with it. Now we've become friends, but there's this huge sexual tension between us, or at least I feel it when we're physically in the same place. Two summers ago, we saw each other casually for a while, but we never had sex then or while we were dating, which was only for two months three years ago. I'm now in my 20s, and my current boyfriend is amazing and in his 30s. Despite the age difference, I know we're a really good match. We've never really fought and are able to make compromises and talk everything out. I tell him everything. Also, my ex-boyfriend has a girlfriend now as well. He’s been seeing her on and off for the past two and a half years, besides when they broke up and we had our casual thing. That summer, I told him I didn't want anything serious and broke it off. Only a week later, he had gotten back together with his girlfriend. His girlfriend is kind of mean spirited. I'm sure she may be different around him, but I worry about him committing to her in the long run. They're supposed to move in together soon. But still, I feel this connection with my ex-boyfriend, and I feel like he does too. I don't know what to do. I need some closure or I'm not going to be able to move on from this. I don't know what it is, but it's driving me crazy. I’m so happy with my current boyfriend, and I know he will do everything in his power to make my life beautiful and fulfilling. He’s such a good person. I also know my ex-boyfriend smokes marijuana and does other things, but I can't get it out of my head. I'm trying to take a nap right now between classes, but I can't sleep because my mind is racing. I've never been so hung up on something for this long ever. I want to just talk it out with my ex-boyfriend, but I don't know if that's a good idea because of the possibility that it could blow up in my face. If he told his girlfriend, everything could go wrong because she hates me. If my current boyfriend knew, he would be crushed. On one hand, I want my ex-boyfriend to say no to having feelings for me, but I would be terrified of what to do if he said he has feelings too. Where would I go from there? On the other hand, I feel like I can't move forward in my relationship with my current boyfriend without closure from this. Sometimes I wish I could just cut off everything that had to do with my ex, but I don't want to. Please help me, because I really have no idea what to do.","If you're in a relationship and you're having strong thoughts about someone else, it's important to pay attention to that. Although you say you're happy, I'd suggest looking really carefully at the relationship you have and whether you're getting everything you need. Is there a physical connection with your ex that you don't have with your current boyfriend? It could be that your boyfriend is marvelous in many areas, but that you just don't feel excited about him for some reason. That's a pretty important element to be missing.It may be that, even if you are happy with your current boyfriend, you still hold something special for your ex. If you feel the need to see what is possible there, I think you have to tell your boyfriend about that and end it with him first. You can't have everything.If you truly feel that you want to be with your current boyfriend, you will do well to stop thinking about and focusing on your ex, because thoughts of him will interfere with the growth of your current relationship. The grass isn't greener... A therapist can help you to focus your energies and thoughts on the present, rather than an imagined version of the past or future."
"After 25 years, I fell in love for the first time. The person acted for a week and left me without even saying goodbye. My heart is burning, and I can't take this pain.","Ouch. Losing someone you love hurts so much. We all long to be loved and to love and to have that experience and then lose it is awful. While it is easy to feel angry or start doubting yourself under these circumstances, I would encourage you to recognize the agony of what you are experiencing as an indication of how much you value loving relationships and how much you want to make this happen in your life. When we are going through this kind of loss it is really helpful to have the support of friends and family. While no one is going to be able to make it better, we don't have to be alone with our pain. If you are not comfortable with going to those in your life it may be a good time to see a counsellor to help you cope with your distress and learn how to move past this and find the love that you are looking for."
"My ex-boyfriend and I met over a year ago. We hit it off and fell in love pretty quick. However, he has trust issues and assumed I was cheating. When I found out I was pregnant, we had just broken up. Five months later, I lost the baby, and we did not speak for a few weeks. Now we are talking, and he says he loves me but is afraid I will hurt him ""again."" I just want to know where to go with this because I love him so much, and I want to get back to us being happy and a family.","I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive. In situations like this, I often recommend being open and honest in your communication with your partner. Your fears about his response are valid, as he made an assumption which you cannot disprove because you cannot battle against a shadow fact. If you feel comfortable doing so, you can always ask him why he is so concerned you are unable to remain faithful and challenge those beliefs with the facts that disclaim them. You can also ask your partner what it is that he needs from you to help you to help him trust in your responses. In the end, these are issues that you cannot conquer for him - you can only guide him and show him the path towards trust. You may suggest couples counselling or that he seek out a professional to talk to, as well. But in terms of your question, only you can decide whether you feel you can remain in a relationship in which you defend yourself against an uncommitted offense."
"My ex-boyfriend, will not stop harassing and stalking me. We work together. I honestly think he needs help to move on. His accusations are angry lies. But I think he may believe them to be true.","The specific laws about this will vary from state to state. Generally, the only way to ""force"" someone to get mental health care is if they pose an imminent theft of harm to themself or someone else, or if they are unable to care for themself. More importantly, is dealing with your safety. Most states have laws that make stalking a crime. You might want to think about filing a police report and obtaining a restraining order against him. You could also think about contacting a local counselor. While you can't force him to get help with moving on from the relationship, counseling could help you to deal with what is going on."
"My boyfriend’s sneaky and puts his friends before me. He fights just to leave. One day, he's happy. The next, he's mean and blames me for everything. He can't admit faults. He thinks he's perfect and does no wrong.","Hi, Ontario. I live in the other Ontario; in Canada. I'll try to help you sort this out. You have a long list of complaints about your boyfriend! It sounds like he's maybe a bit immature and moody, and these things affect you, for sure. I get it. It's got me curious, and if I was working with you, I'd want to know a lot more about how long you've been together and what's actually working well between you two. I would also ask a lot of questions about the details of your description. What tells you he's 'sneaky'? Does he lie? How do you know he lies to you? Also, are you wanting to make things better with him, do you just want an ear to vent to, are you looking for validation, or do you hope someone will help you wake up to an unhappy situation? It helps me if I know what you want.Whenever I meet someone who has a lot of complaints about their partner or boyfriend, I encourage them first to look at the language they're using. Some of your words tell me that you think you know what he's thinking (that he wants to fight so he can leave, that he thinks he's perfect). It's always tricky when we assume what someone's thinking, and in an argument or dialogue, these kinds of statements tend to lead to defensiveness and an escalated argument. I'd encourage you to focus on his actual behaviours and how they affect you, rather than the motives or beliefs you think are behind the behaviours (because you really can't know what he's thinking unless he tells you). As a general rule, the ""When you do X, I feel Y"" sentence goes far in helping others understand what we feel.So, it's fair to say ""when you lie to me, I can't trust you"", or ""when you end our date early to hang with your friends I feel like I'm not important to you"", or ""your mood swings are difficult for me"", or ""I don't seem to get apologies from you"". Try to focus on his actual behaviour when you talk to him about this stuff. A relationship counsellor can help you each understand the other better beyond the surface behaviours if you want to improve the relationship.That said, I have to ask...if you haven't been with Mr. Not So Great for very long, is it maybe time to rethink the relationship? Unless there is a balance of really loving and positive behaviours that you're leaving out, you don't seem happy. A good therapist can help you understand why you are stuck in an unhappy relationship, if that is what's happening. There's a lot to sort out here...how to communicate about your needs, how to know when to call it quits if something doesn't feel good... I wish you the best as you continue to examine these questions with assistance from friends or professionals."
"My boyfriend says I'm nuts. I need to get help because I get an overwhelming feeling that he is cheating on me. Whenever I try to talk with him about it, he always turns it around on me by telling me what I'm doing wrong. I know that accusing him does not help. When his whole demeanor shifts towards me, I can't help but think that something is wrong. Am I wrong for feeling this way? I try to talk with him to make it better. I let him know when I am feeling down. But I am not confident in these things. Two weeks ago a girl texted his phone 3 times trying to hook up with him. He texted her back with ""Sorry, I've been working. I just read your message."" The girl was trying to get him to call her at a time when he was at home with me. He texted her back with ""Don't text me anymore."" I don't feel like I am way out of the line. But I can't talk with him if all that he will say is that I'm crazy and I need help. What should I do? How will I go about checking if there really is something wrong with me?","Trust your intuition that your boyfriend is involved with other people.You gave examples which strongly suggest this.Quite commonly, a person twist someone's words to convince then of having problems in seeing or understanding their own and other's behavior.Your intuition is again working quite well in telling you that your problem is having a boyfriend who manipulates you, not that you're seeing things incorrectly.One way to check if you're totally misreading him, is to examine whether you feel similarly in other relationships.If no one else who knows you tells you that you're crazy, then this strongly points to your boyfriend twisting words so that you feel wrong.Also, a consult with a therapist would clarify the dynamics between you and your boyfriend.A therapist session would also allow you to think out loud in a confidential discussion, what to do with your newfound clarity!"
"I want us all to get along, but feel that I am not being respected. Of course I do have some insecurities because he was with his ex for 8 years. He wants to see his step daughter and ex makes it so he has to go there to see her, but she doesn't want me around. She has a boyfriend, but mine fixes their vehicles, goes over once a week and hangs out with the ex and does family things with her. Since he works nights, I only see him parts of Friday-Sunday and we live together. He won't let me use his phone when I forgot mine, says his ex used to mess with it. I don't think he's cheating, but he will lie about what time he actually left her place to come home or about going over early to be with them. I feel like the other woman. She has tried to mess with holiday plans by restricting when he can see the child. He only dated once person before her, so this could be why. I don't feel he has let go enough. He is a wonderful boyfriend other than this.","How much of your unhappiness with your boyfriend's way of handling himself regarding his ex, have you told him?The topics that upset you are the core of any intimate relationship.The good news is your own awareness of priorities and expectations from a partner.There may not be any bad news, depending on whether your boyfriend has the interest to adjust what he does regarding the ex.Talking the matters you list, may open a lot of emotion and become sidetracked very easily.A couples' therapist, whose focus is on the couple, not either of you as individuals, may be useful to you and your boyfriend so that you are able to complete your discussions without getting lost by the emotions raised."
